TC ID,Section,User Story,Scenario,Pre-condition,Steps,Test Data,Expected Output,Actual Output,Pass/Fail
TC001,Functional,US001 Customer Registration,Register new customer with valid data,App is running and email not in DB,"Open /register.jsp; fill all fields; click Register","Name: Indrayudh Banerjee; Email: indra@test.com; Contact: 9999999999; Address: Kolkata; Password: pass123","Forwarded to /login.jsp with green banner ""Registration successful! Please log in."" Row added to both login and customer tables.",,
TC002,Functional,US001 Customer Registration,Register with duplicate email,TC001 already executed,Repeat TC001 with same email,Email: indra@test.com (already used),"Page reloads on /register.jsp with red banner ""An account already exists for email indra@test.com"". No new DB row.",,
TC003,Functional,US001 Customer Registration,Register with invalid email format,App running,Submit registration with malformed email,Email: not-an-email,"Red banner ""Email format is invalid: not-an-email"". Form not submitted to DB.",,
TC004,Functional,US001 Customer Registration,Register with empty required fields,App running,Submit form with empty name,Name: (empty); others valid,"Red banner ""Name, email and password are required.""",,
TC005,Functional,US001 Customer Registration,Password stored hashed (not plaintext),TC001 executed,Run SQL: SELECT password FROM login WHERE email='indra@test.com',-,"Password is a 64-character hex SHA-256 hash, not the plaintext pass123.",,
TC006,Functional,US002 Admin Registration,Super-admin seeded automatically on first run,Fresh DB,"Stop Tomcat; delete MySQLiteDB file; start Tomcat; inspect login table",-,"Row exists with email='root@grocery.local', userType='admin', status='Active'.",,
TC007,Functional,US002 Admin Registration,Add new admin via admin panel,Logged in as root admin,"Navigate to Add Admin; fill form; submit",Email: admin2@test.com; Password: admin2,"Green banner ""Admin 'admin2@test.com' created successfully."" New row in login with userType='admin'.",,
TC008,Functional,US002 Admin Registration,Add Admin link hidden from customers,Logged in as customer,View customer navbar,-,"Navbar shows Home/Catalog/Cart/My Orders/Profile only. Add Admin link is NOT visible.",,
TC009,Functional,US002 Admin Registration,Adding admin with duplicate email rejected,TC007 done,Try to add same admin email again,Email: admin2@test.com,"Red banner ""An account already exists for admin2@test.com"".",,
TC010,Functional,US003 User Login,Valid customer login,TC001 done,"Open /login.jsp; submit valid credentials",Email: indra@test.com; Password: pass123,"Redirected to /customer/index.jsp. Navbar shows ""Hi, Indrayudh Banerjee"".",,
TC011,Functional,US003 User Login,Valid admin login,App running,Submit root admin credentials,Email: root@grocery.local; Password: root,"Redirected to /admin/index.jsp. Admin-themed navbar with ""Admin: root@grocery.local"".",,
TC012,Functional,US003 User Login,Wrong password,TC001 done,Submit valid email + wrong password,Email: indra@test.com; Password: wrong,"Stays on /login.jsp. Red banner ""Invalid email or password.""",,
TC013,Functional,US003 User Login,Non-existent email,App running,Submit unknown email,Email: ghost@test.com; Password: anything,"Red banner ""Invalid email or password.""",,
TC014,Functional,US003 User Login,Invalid email format,App running,Submit malformed email,Email: notanemail,"Red banner ""Email format is invalid.""",,
TC015,Functional,US003 User Login,Inactive customer cannot log in,TC046 (deactivate) done,Try to log in as deactivated customer,Email: indra@test.com; Password: pass123,"Red banner ""Your account is deactivated. Please reactivate it first."" Reactivation form appears.",,
TC016,Functional,US003 User Login,Admin can log in even when Inactive,Manually mark admin as Inactive in DB,Login as that admin,Email: admin2@test.com; Password: admin2,"Login succeeds; redirects to /admin/index.jsp. (Admins are never blocked by status.)",,
TC017,Functional,US003 User Login,Direct URL access without session redirects to login,Logged out,Paste /customer/catalog in browser,-,"Redirected to /login.jsp?expired=1 with banner ""Please sign in to continue.""",,
TC018,Functional,US004 Product Registration,Add valid product (single),Logged in as admin,"Navigate to Add Product; fill form; submit",Name: Apples 1kg; Description: Fresh red apples; Brand: Local; Price: 120.00; Stock: 50,"Green banner ""Product created successfully (id=N)"". Form clears. New row in product table.",,
TC019,Functional,US004 Product Registration,Add product with empty name,Admin logged in,Submit with empty name,Name: (empty); others valid,"Red banner ""Product name must not be empty."" No DB insert.",,
TC020,Functional,US004 Product Registration,Add product with empty description,Admin logged in,Submit with empty description,Description: (empty); others valid,"Red banner ""Product description must not be empty.""",,
TC021,Functional,US004 Product Registration,Price exceeds 100000,Admin logged in,Submit with price > 100000,Price: 150000.00,"Red banner ""Price must be between 0 and 100000.0.""",,
TC022,Functional,US004 Product Registration,Negative stock rejected,Admin logged in,Submit with negative stock,Stock: -5,"Browser blocks via HTML5 min=0 OR server returns ""Stock availability must be >= 0.""",,
TC023,Functional,US004 Product Registration,Bulk CSV upload happy path,"Admin logged in; sample-products.csv exists","Navigate to Bulk Upload; choose sample-products.csv; click Upload",File: sample-products.csv (10 rows),"Green banner ""10 product(s) imported successfully."" 10 new rows in product table.",,
TC024,Functional,US004 Product Registration,Bulk CSV with bad row rolls back,Admin logged in,Upload CSV where one row has price > 100000,CSV with bad row,"Red banner mentioning rollback. Zero rows inserted from this upload.",,
