product_name,description,company_name,price,stock_availability
Basmati Rice 5kg,Long grain aromatic basmati rice,Daawat,599.00,40
Whole Wheat Atta 10kg,Stone-ground whole wheat flour,Aashirvaad,499.50,60
Refined Sunflower Oil 1L,Cold-pressed sunflower cooking oil,Fortune,189.00,80
Toor Dal 1kg,Premium polished toor dal,Tata Sampann,159.00,120
Salted Butter 500g,Creamy table butter,Amul,289.00,50
Full Cream Milk 1L,UHT processed full cream milk,Mother Dairy,72.00,200
Brown Eggs (12 pcs),Free range brown eggs - dozen pack,Keggs,135.00,90
Olive Oil Extra Virgin 500ml,Cold-extracted extra virgin olive oil,Figaro,649.00,25
Cane Sugar 1kg,Refined white cane sugar,Madhur,52.00,150
Iodised Salt 1kg,Free flowing iodised table salt,Tata,28.00,300
